CreditScoreCategory,Industry,Region,ContractType,CollateralValue,LGD,PctChangeRevenue,PctChangeNetProfit,DebtToEquity,InterestCoverage,EquipmentAge,LeaseToValue,MaintenanceScore,OperatingMargin
High,Transportation,East,Loan,42724.64,0.6185,-17.15,44.17,1.14,2.64,6.5,0.73,83.9,0.1088
High,Construction,East,Loan,43414.87,0.6375,43.58,-17.67,1.98,1.61,6.2,0.73,59.6,0.1202
Medium,Mining,East,Loan,65601.72,0.594,-14.04,-31.01,1.01,5.13,4.8,0.76,69.9,0.1067
Low,Energy,North,Loan,43121.21,0.7206,12.49,-56.89,1.18,3.08,3.5,0.57,80.6,0.1089
High,Manufacturing,North,Loan,49344.7,0.6345,6.66,-5.13,1.33,0.65,7.9,0.67,80.8,0.1141
Medium,Manufacturing,North,Lease,70171.98,0.5648,4.96,26.89,1.08,1.97,5,0.74,68.2,0.0754
High,Energy,East,Loan,41487.83,0.675,-36.62,23.28,1.78,0.78,3.1,0.57,54.8,0.0856
High,Transportation,South,Loan,58355.91,0.5708,25.4,11.07,1.56,2.06,11,0.88,85.8,0.1517
High,Construction,West,Loan,63506.82,0.5906,6.39,-12.62,1.01,3.53,5.5,0.55,74.2,0.0228
Low,Transportation,North,Loan,50951.63,0.6441,18.38,38.9,1.24,3.93,2.7,0.59,91.1,0.0594
Medium,Manufacturing,South,Lease,79311.77,0.56,22.77,3.93,1.57,4.27,6.8,0.63,68.4,0.0142
High,Energy,East,Lease,74981.8,0.5456,34.27,13.27,1.6,2.06,6.9,0.62,73,0.0153
Medium,Energy,North,Lease,53946.46,0.6517,-19.97,-33.71,1.02,2.47,4.2,0.75,91.3,0.0502
Low,Transportation,East,Lease,37942.75,0.7393,-14.38,-54.4,1.51,3.66,3.2,0.71,73.6,0.0887
Medium,Transportation,South,Lease,38651.62,0.6774,-11.64,27.32,1.81,4.29,4.5,0.61,50.5,0.1265
High,Construction,North,Loan,53189.62,0.5559,-17.33,77,1.35,2.79,6.4,0.91,48.3,0.1191
Medium,Mining,North,Lease,33649.54,0.6534,26.43,14.77,0.99,3.96,6.6,0.78,44.2,0.1306
Medium,Mining,North,Lease,54034.13,0.6456,-20.06,27.5,2.17,2.16,3.8,0.73,56.9,0.0686
Low,Construction,North,Loan,75321.43,0.6016,-7.59,26.85,1.81,0.1,7.8,0.77,63.7,0.1968
Medium,Mining,South,Loan,50937.3,0.6351,-32.63,3.69,1.29,4.36,2,0.74,83.4,0.0983
High,Manufacturing,North,Lease,49715.78,0.6169,14.64,-45.12,1.55,3.85,3.8,0.72,85.3,0.1676
Low,Mining,West,Lease,62797.9,0.6215,-2.55,23.52,1.32,2.85,4.8,0.75,38.5,0.0793
Medium,Construction,West,Loan,57872.53,0.5809,17.67,47.36,1.01,3.26,4.4,0.7,79.3,0.0656
High,Mining,East,Lease,32775.34,0.6394,14.02,17.86,1.84,4.73,4,0.77,64.5,0.114
Medium,Energy,North,Loan,43171.49,0.7139,-32.83,-4.66,2.33,2.99,7.5,0.71,75.2,0.0359
Medium,Transportation,West,Loan,78409.31,0.5831,3.7,14.9,1.95,0.1,4.7,0.67,98.9,0.0353
Medium,Manufacturing,West,Lease,54881.68,0.6388,-21.81,0.44,1.62,0.1,5.8,0.86,57.7,0.1613
Medium,Energy,West,Lease,34903.5,0.656,2.82,41.87,1.34,5.01,5.7,0.71,77.4,0.1053
Low,Energy,South,Lease,47122.31,0.6605,-11.72,9.12,0.17,3.89,5.7,0.68,85.9,0.0847
High,Construction,North,Loan,23261.19,0.6739,36.67,24.46,2.28,4.7,4.7,0.61,71.2,0.1673
High,Transportation,South,Loan,22137.17,0.6416,53.27,36.81,1.17,5.23,1.4,0.6,60.7,0.0636
High,Transportation,South,Lease,64734.07,0.5507,-4.9,24.62,1.92,5.14,6.8,0.7,60.5,0.232
High,Manufacturing,West,Lease,49932.92,0.637,1.98,4.87,1.97,0.89,4.8,0.66,62.8,0.0917
Medium,Construction,West,Lease,57783.15,0.6862,-45.7,-42.31,1.96,2.7,4.1,0.63,73.5,0.0618
Medium,Manufacturing,East,Loan,67368.27,0.5749,-32.89,16.21,0.8,1.67,4.1,0.83,59.7,0.1505
Medium,Mining,North,Loan,55092.11,0.6146,7.72,30.9,1.99,3.24,5.6,0.8,78.9,0.0643
Medium,Energy,North,Loan,60996.53,0.6484,-0.65,-45.11,1.26,0.97,4,0.6,76.3,0.1035
Medium,Manufacturing,West,Lease,53859.64,0.614,8.43,15.59,1.46,3.06,4.6,0.67,44.2,0.2014
Medium,Energy,West,Loan,69295.97,0.6273,-15.96,3.32,1.44,0.42,6.4,0.54,86.9,0.0828
High,Construction,North,Loan,76601.71,0.5675,6.05,-64.93,1.19,2.48,5.4,0.65,100,0.1
Medium,Mining,East,Lease,52993.56,0.6436,-50.59,13.03,1.35,5.19,3.2,0.63,62.8,0.1095
Medium,Construction,West,Loan,52364.54,0.6274,-12.18,44.49,1.57,1.98,6.1,0.68,83.7,0.1607
Low,Mining,East,Lease,54802.4,0.659,9.33,3.88,1.03,1.96,4.4,0.61,90.2,0.0878
Medium,Mining,South,Loan,48417.12,0.66,33.93,-59.31,0.68,3.19,6.7,0.52,80.8,0.1803
Low,Energy,West,Lease,43995.79,0.7006,-2.34,13.76,1.95,3.27,4.2,0.64,78.4,0.0882
Medium,Construction,South,Lease,65725.04,0.5602,11.8,35.92,1.64,3.47,5.3,0.83,44.6,0.1405
Medium,Construction,West,Loan,44016.05,0.6816,-13.39,-22.57,0.57,1.81,6.2,0.64,65.7,0.0719
Low,Manufacturing,South,Lease,43150.93,0.6782,8.87,-4.21,1.7,2.1,3.3,0.89,67.7,0.1098
Medium,Construction,West,Loan,63475.55,0.6211,-9.88,-8.1,1.41,3.1,6.4,0.62,90,0.1282
Low,Manufacturing,East,Lease,64626.64,0.5975,39.09,5.69,0.85,4.48,8.4,0.71,50.8,0.0999
Low,Transportation,East,Lease,85002.07,0.5819,-6.58,-9.03,1.23,1.9,5.9,0.73,99.2,0.056
High,Transportation,East,Lease,68294.96,0.5596,-3.4,42.55,1.68,2.7,5.4,0.6,94.5,0.0816
Medium,Transportation,South,Loan,62405.41,0.6014,15.48,41.79,1,0.1,6.8,0.53,55.1,0.1478
Low,Construction,East,Lease,64570.16,0.6244,10.05,-16.07,0.99,2.35,6.7,0.81,51.3,0.0781
Medium,Construction,South,Lease,47781.75,0.607,-7.31,42.53,1.22,3.3,5.3,0.81,86.2,0.2043
Medium,Manufacturing,West,Loan,58433.23,0.6051,8.2,-47.39,1.03,4.31,3.1,0.84,65.7,0.1073
Low,Mining,South,Lease,59144.63,0.6695,-21.1,-22.26,0.95,1.82,3.7,0.62,66.3,0.1073
Medium,Manufacturing,West,Lease,41868.92,0.638,4.53,20.77,0.94,3.26,4.3,0.74,84.7,0.1154
Low,Transportation,North,Lease,49265.83,0.6656,10.99,4.72,1.72,3.41,2.5,0.7,52.4,0.107
Low,Manufacturing,North,Lease,64285.89,0.6377,-8.45,6.44,1.05,0.31,7.8,0.69,84.5,0.1855
Medium,Mining,North,Loan,49722.36,0.6654,-7.4,13.45,2.04,1.11,3.1,0.66,51.5,0.0828
Medium,Construction,South,Lease,59173.57,0.6391,-12.59,-12.4,2.58,3.75,4.9,0.78,50.6,0.122
Medium,Manufacturing,North,Lease,63451.96,0.5618,-28.72,39.71,1.42,3.09,3.2,0.96,83.7,0.1536
Medium,Transportation,North,Loan,62752.15,0.6032,8.3,23,2.51,3.14,6.2,0.73,80.4,0.184
High,Transportation,North,Lease,75959.75,0.5577,-9.5,-0.89,1.77,1.61,7,0.72,37.2,0.1192
Medium,Construction,West,Lease,41280.78,0.6704,11.13,30,1.58,0.83,2.4,0.63,83.3,0.0348
Medium,Manufacturing,East,Loan,74637.78,0.5649,-3.65,15.9,1.47,3.72,6.3,0.77,98.9,0.029
Medium,Mining,South,Loan,57114.14,0.6168,12.3,-5.05,0.52,3.25,2.6,0.45,71.7,0.1215
Low,Construction,North,Loan,62510.72,0.6673,-34.27,-6.33,1.27,0.1,4.2,0.67,89.3,0.1254
Medium,Manufacturing,West,Loan,60454.28,0.6409,-22.92,-32.23,0.94,2.85,10.3,0.74,66.7,0.1059
Low,Energy,East,Lease,59695.31,0.6588,-16.84,-16.12,1.94,5.67,5.6,0.72,86.3,0.0871
Low,Transportation,East,Loan,40439.43,0.7137,23.94,-3.32,2.36,3.9,6.8,0.69,30.4,0.0971
High,Mining,East,Lease,61959.28,0.6033,8.06,4.76,1.61,1.66,5.6,0.52,60.7,0.0959
High,Mining,West,Loan,28417.53,0.6815,-5.27,-25.08,1.63,3.25,4.7,0.85,100,0.094
Medium,Mining,North,Lease,81428.99,0.5582,-9.55,3.46,1.98,2.69,3.8,0.72,92.5,0.1201
Medium,Transportation,East,Loan,55727.29,0.6264,11.92,-14.02,1.56,5.47,8,0.7,65.4,0.1017
Low,Manufacturing,West,Loan,67399.56,0.6603,-11.78,-19.15,2.1,1.31,8.8,0.83,69.7,0.0655
Low,Construction,West,Lease,60227.26,0.6333,14.71,17.79,2.68,4.95,5.1,0.82,53.3,0.0828
Low,Manufacturing,South,Loan,50548.78,0.7114,-4.29,7.42,2.22,1.21,7.4,0.68,70.3,0.0313
Medium,Construction,West,Loan,41888.76,0.6677,25.86,-1.79,1.19,3.5,6.7,0.67,44.2,-0.0055
Medium,Mining,East,Loan,39044.94,0.6771,-18.89,17.56,1.92,3.97,4.6,0.75,78.1,0.1027
Medium,Manufacturing,East,Lease,61690.5,0.6019,-2.56,-36.25,1.17,4.73,5.1,0.82,61.7,0.1133
Low,Mining,West,Loan,60904.88,0.655,-18.38,-33.82,1.39,4.15,4.1,0.8,80.5,0.0428
High,Energy,East,Loan,58376.73,0.6251,32.56,-9.91,2.32,0.71,9.1,0.6,61.5,0.1242
Medium,Mining,West,Lease,48233.51,0.6564,0.42,-3.1,1,3,6.6,0.59,60.5,0.1144
Medium,Mining,East,Lease,56198.54,0.6302,-20.15,22.93,1.3,3.77,5.1,0.61,83.7,0.0665
Medium,Construction,South,Loan,43657.2,0.6795,-18.04,-18.83,2.07,4.63,4,0.75,63.4,0.0954
Medium,Energy,North,Lease,39787.66,0.6938,10.28,-18.2,1.07,1.3,6,0.66,64.4,0.0339
Low,Mining,South,Lease,45840.13,0.6635,-36.37,32.67,0.54,1.59,2.4,0.75,92.8,0.1289
Medium,Mining,South,Lease,46500.05,0.6894,-3.56,-32.5,0.75,0.8,3.5,0.57,92.4,0.0003
Medium,Energy,North,Loan,71963.04,0.5754,-17.05,30.48,1.2,3,4.6,0.62,82.8,0.0906
Low,Energy,East,Loan,29524.55,0.7233,-3.19,0.26,1.48,3.41,4.2,0.75,70.4,0.1628
Low,Manufacturing,North,Lease,49504.54,0.6966,2.02,-23.34,1.35,3.53,4.6,0.55,100,0.0981
Low,Construction,West,Loan,59485.2,0.6496,-1.97,-32.88,1.24,2.6,6.4,0.88,90.8,0.0752
Low,Energy,North,Lease,79783.02,0.5994,-5.32,-5.6,1.54,2.83,8.9,0.81,60.4,0.0318
High,Energy,South,Loan,40888.49,0.6066,3.31,19.58,1.25,2.84,6.4,0.84,81.2,0.2071
Medium,Transportation,North,Lease,33261.23,0.6723,35,-0.41,1.15,2.65,4.7,0.78,55.5,0.0337
Medium,Energy,East,Loan,60844.98,0.6205,25.48,27.52,1.61,0.25,7,0.51,76.8,0.1622
Low,Construction,South,Lease,52472.87,0.6582,-6.75,26.66,1.56,1.57,5.1,0.81,67.4,0.0795
Medium,Mining,West,Loan,46688.03,0.6255,14.5,24.16,2.01,3.81,1.3,0.77,61.9,0.1088
Medium,Mining,East,Loan,56564.42,0.6404,13.52,25.44,2.51,2.33,7.4,0.67,77.1,0.0928
Low,Mining,South,Lease,62927.66,0.6367,-7.58,-16,0.45,2.25,2.6,0.65,57.3,0.039
Medium,Mining,West,Loan,61055.6,0.5941,-0.64,23.44,1.76,4.9,5.3,0.78,66.4,0.0601
Medium,Transportation,East,Loan,54525.9,0.5941,10.75,63.93,1.58,4.61,3.4,0.54,77.1,0.1636
Medium,Energy,West,Loan,69752.08,0.5936,-14.61,29.32,2.14,1.9,2.7,0.79,71.5,-0.0074
Medium,Mining,North,Loan,52960.93,0.6343,-4.81,-11.63,1.25,5.24,4.1,0.64,67.4,0.0915
Low,Manufacturing,North,Loan,50646.81,0.6598,-3.95,-17.4,1.31,2.71,0,0.72,65.5,0.1864
Medium,Mining,West,Loan,60708.38,0.5884,-5.39,3.42,0.85,4.2,3.6,0.72,66.1,0.1229
Medium,Energy,North,Loan,31092.06,0.7177,-6.18,23.12,2.01,2.95,5.8,0.56,94,0.1229
Medium,Mining,West,Loan,59236.33,0.6327,8.84,5.36,1.57,2.04,5.7,0.54,85.7,0.1244
High,Transportation,East,Lease,45451.72,0.6403,0.53,-33.22,2.06,4.2,1.3,0.72,45,0.097
Medium,Construction,South,Loan,30050.22,0.6984,12.79,22.74,1.28,1.65,6.9,0.69,54.9,0.0789
Low,Construction,West,Lease,56377.77,0.6158,50.4,28.15,1.16,2.76,9.7,0.73,51.8,0.1583
Low,Energy,South,Loan,43125.91,0.7473,-10.7,-26.33,1.86,3,8.5,0.6,63.4,0.0419
Medium,Construction,South,Lease,25782.74,0.6873,4.35,28.82,1.33,2.42,3.9,0.79,88.6,0.1256
Low,Construction,West,Loan,36932.9,0.7143,10.17,3.64,1.82,0.96,3.7,0.82,57.9,0.054
Medium,Manufacturing,North,Lease,75344.77,0.5545,21.84,14.62,1.76,3.76,3.2,0.67,76.9,0.0676
High,Energy,East,Lease,41649.57,0.638,8.69,15.13,1.55,4.38,8.7,0.58,86.7,0.1576
Medium,Energy,South,Loan,54844.53,0.6362,-21.86,8.64,1.2,3.25,4,0.64,37.5,0.0842
Medium,Construction,East,Lease,33738.07,0.7136,-13.25,-11.97,1.68,1.86,3.6,0.73,61.9,0.0685
Medium,Construction,South,Loan,81513.93,0.5105,2.93,15,1.12,6.25,6.7,0.74,46,0.1841
Medium,Construction,West,Loan,51040.05,0.6433,-13.82,1.38,1.55,2.65,7.3,0.9,60.5,0.0499
Medium,Transportation,North,Lease,39739.19,0.6921,-29.53,9.88,2.34,2.63,6.9,0.78,77.3,0.1978
High,Mining,East,Loan,63276.41,0.6119,-16.13,-8.18,2.12,0.1,2.9,0.67,44.2,0.1123
Medium,Transportation,South,Lease,80752.99,0.5515,-16.02,11.85,1.25,1.14,6,0.75,70.1,0.1581
High,Energy,West,Lease,43876.11,0.6469,-20.19,-0.01,1.64,4.74,7.9,0.73,43.6,0.0621
High,Manufacturing,West,Loan,39439.33,0.6026,50.54,-30.07,1.23,7.94,5,0.7,50.9,0.1478
Low,Mining,South,Loan,84427.41,0.5348,6.31,16.11,1.64,4.93,5.6,0.87,88,0.1445
Low,Manufacturing,South,Loan,48159.83,0.6729,2.31,32.41,1.04,1.44,5.4,0.64,80.5,0.0713
Low,Energy,South,Loan,46450.96,0.6562,18.39,12.32,1.17,3.71,4.5,0.76,50.9,0.0809
Low,Energy,North,Loan,17834.3,0.7829,35.97,-5.12,2.44,2.42,5.9,0.76,70,0.024
Low,Manufacturing,South,Lease,49495.04,0.6634,7.73,12.25,1.57,2.46,6.8,0.88,66.5,0.0462
Medium,Manufacturing,South,Lease,29660.81,0.7352,20.35,-19.8,1.28,1.05,7.6,0.49,74.1,0.1399
Low,Manufacturing,North,Loan,41598.6,0.6572,-10.04,24.08,0.44,3.78,4.9,0.82,83.2,0.0919
Medium,Energy,West,Loan,19785.48,0.7612,-18.13,26.82,1.58,1.1,5.1,0.59,100,0.0325
High,Construction,South,Loan,68527.23,0.5987,18.18,-0.75,2.59,0.1,4,0.55,64.9,0.123
Low,Manufacturing,East,Lease,28000.84,0.7385,17.8,4.06,1.21,2.39,8.2,0.61,100,0.1679
High,Mining,West,Lease,20888.74,0.7287,15.92,-30,1.31,0.1,4.1,0.55,56.9,0.1528
Low,Energy,East,Lease,36376.74,0.6954,2.51,17.84,1.52,1.79,4.8,0.82,68.2,0.1561
Low,Transportation,South,Loan,68710.05,0.6141,-15.59,-6.37,1.18,3.9,5.2,0.86,62.7,0.0043
Medium,Transportation,North,Loan,43325.1,0.7283,-9.61,-75.7,2.6,4.7,5.4,0.63,63.5,0.1231
Medium,Mining,North,Lease,45331.12,0.6555,23.1,3.93,1.99,3.96,2,0.68,73.6,0.0064
High,Construction,North,Loan,57176.73,0.6079,-11.82,-2.76,1.85,2.65,6.1,0.81,81.5,0.0386
Medium,Manufacturing,South,Loan,47725.13,0.6718,3.73,-29.75,2.56,2.18,5.9,0.87,75.4,0.1477
High,Energy,South,Lease,68569.38,0.5744,-15.42,29.75,2.35,1.61,5.3,0.72,81.6,0.1189
Low,Manufacturing,East,Lease,46405.55,0.6838,-3.82,-12.4,1.54,5.23,5.7,0.66,80.4,0.1676
Low,Energy,North,Loan,46651.28,0.7289,-21.61,-21.33,1.36,1.11,4.9,0.56,75,0.0917
Medium,Transportation,South,Lease,83962.9,0.5229,-1.49,33.69,1.36,3.19,2.1,0.58,68.3,0.1623
High,Manufacturing,West,Loan,50827.48,0.5901,-9.55,12.69,1.23,3.89,7.2,0.86,60.8,0.1145
High,Mining,South,Lease,53458.56,0.6588,-34.13,-28.73,1.39,0.1,2.1,0.58,63,0.0546
Medium,Construction,South,Lease,46843.61,0.6448,13.1,0.23,1.24,0.1,3.3,0.74,90.4,0.1484
Medium,Mining,West,Loan,13576.48,0.7536,12.19,-22.93,0.94,3.89,7.4,0.68,62.3,0.0997
Medium,Construction,North,Loan,63093.06,0.6067,1.12,-37.12,0.29,0.82,2.3,0.67,78.8,0.1132
Medium,Manufacturing,West,Lease,74907.99,0.6191,-22.48,-39.3,2.02,3.46,4.7,0.54,92.9,0.1555
High,Manufacturing,North,Loan,68835.73,0.5396,-22.21,21.12,0.17,1.69,8.6,0.68,77.9,0.2167
High,Construction,West,Lease,41628.78,0.6167,46.61,-23.22,1.68,3.4,5.1,0.86,73.8,0.0828
Medium,Transportation,East,Loan,47401.89,0.6909,-52.44,-28.9,1.98,3.6,2.2,0.7,96.2,0.13
Medium,Energy,North,Lease,55237.81,0.6399,-21.81,-6.18,1.72,4.51,6.5,0.76,72.5,0.0944
Medium,Mining,South,Lease,54709.03,0.5873,42.99,77.61,1.43,3.66,5.9,0.55,64.3,0.066
Low,Mining,East,Lease,60214.55,0.6158,49.25,14.62,1.61,3.34,5.2,0.69,94.9,0.0941
High,Mining,North,Loan,53045.92,0.5477,33.98,25.23,1.28,5.61,0.9,0.68,64.4,0.1406
Medium,Manufacturing,North,Lease,44580.08,0.6812,10.64,-27.82,1.45,1.53,7.6,0.69,71.2,0.1389
High,Mining,North,Lease,52054.18,0.618,-12.73,13.44,1.34,3.08,8.5,0.74,62.6,0.027
Medium,Energy,West,Lease,64981.78,0.6034,-33.65,0.46,1.16,4.37,5,0.72,38.4,0.0867
High,Energy,North,Lease,93744.18,0.516,8.12,-20.5,2.09,0.1,3.7,0.6,46.2,0.1845
Medium,Construction,South,Loan,42515.88,0.6943,-15.26,-5.93,1.94,5.29,6.1,0.63,54.1,0.0245
Low,Manufacturing,North,Loan,53393.07,0.6699,29.03,-18.68,1.43,2.75,6.1,0.7,70.7,0.0332
High,Energy,South,Lease,44550.78,0.6221,-37.07,4.56,1.52,3.64,6.3,0.91,72.5,0.1578
Low,Transportation,South,Lease,54613.27,0.6682,4.01,-5.9,1.13,2.26,5,0.62,75.3,0.0867
Medium,Manufacturing,South,Loan,64634.79,0.62,18.57,-18.6,1.68,3.66,6.1,0.65,60,0.0011
High,Manufacturing,East,Lease,46878.14,0.6239,20.25,-6.8,1.45,3.4,6.5,0.67,58.8,0.0907
High,Energy,South,Loan,19309.51,0.7035,16.67,26.59,1.33,1.31,10.1,0.73,100,0.0711
Medium,Transportation,West,Lease,65428.61,0.6163,6.81,-34.11,1.63,2.34,5.9,0.8,59.8,0.0578
Medium,Construction,North,Loan,51956.29,0.6294,2.55,-15.91,1.54,3.75,5.4,0.74,76.8,0.2146
Medium,Energy,West,Lease,44869.52,0.6391,18.16,10.28,1.08,5.21,2,0.6,86.5,0.0107
Low,Transportation,East,Loan,41520.69,0.7085,6.81,-17.65,1.95,2.44,2.1,0.76,76.9,0.0673
Medium,Manufacturing,North,Loan,54668.07,0.6135,7.46,37.98,1.99,1.06,5.3,0.85,66.2,0.1093
Medium,Transportation,South,Loan,39561.9,0.6577,0.69,34.7,1.16,3.53,4.8,0.7,53,0.0211
Medium,Manufacturing,North,Lease,41314.89,0.6842,-7.7,36.3,3.1,2.55,3.1,0.67,52.6,0.1604
Medium,Energy,East,Loan,31270.72,0.6723,-27,19.68,1.03,4.2,3,0.88,63.6,0.0587
Medium,Energy,East,Loan,39764.55,0.7078,-23.55,29.31,1.81,1.88,6.2,0.57,67.9,0.0405
Low,Mining,West,Lease,59462.96,0.6597,-7.66,0.72,1.78,0.96,3.8,0.71,69.4,0.1313
Medium,Mining,North,Lease,29282.45,0.7033,-2.41,-16.96,1.86,5.35,3.5,0.74,59.2,0.1294
Low,Mining,North,Lease,67281.01,0.6542,-19.35,-15.23,2.35,2.29,2.9,0.73,62.8,0.0994
Medium,Energy,North,Lease,32315.7,0.7308,-20.85,-46.53,1.36,1.64,3.4,0.76,90.8,0.0518
Medium,Construction,West,Loan,52249.04,0.6664,-7.29,-10.48,1.52,1.97,4.2,0.58,54.6,0.0755
High,Energy,East,Lease,57274.23,0.5859,18.04,-8.7,1.71,5.12,5,0.67,59.7,0.1015
Medium,Transportation,South,Lease,62369.63,0.6084,-42.4,-5.11,0.66,6.44,5.5,0.66,50.4,0.057
Low,Energy,North,Lease,62373.38,0.6193,-18.77,75.67,1.57,1.82,4.2,0.59,100,0.17
Low,Energy,West,Lease,48739.6,0.6916,3.23,-21.76,1.7,2.71,1.4,0.56,40.7,0.1912
Medium,Manufacturing,West,Lease,47426.73,0.6234,25.73,-6.58,1.15,3.48,2.8,0.83,64.7,0.032
Medium,Manufacturing,South,Lease,58948.01,0.5881,43.22,64.64,2.59,0.21,4,0.72,97.3,0.1826
Low,Manufacturing,East,Lease,54170.41,0.699,-6.84,-20.64,1.63,2.23,7.1,0.61,90.7,0.0896
Low,Energy,North,Loan,44812.68,0.7049,-7.14,-30.88,1.13,5.84,4.8,0.61,75.1,0.0304
Medium,Construction,North,Loan,55564.59,0.6303,-2.75,-5.72,1.21,2.51,5.9,0.7,77.4,0.1244
Low,Transportation,West,Loan,47493.08,0.6741,4.54,-20.73,1.1,4.9,7.8,0.79,53.8,0.0841
High,Transportation,East,Loan,40991.97,0.6265,-0.9,32.77,1.12,2.9,4.7,0.61,47.1,0.1208
Medium,Construction,North,Loan,44324.89,0.6676,2.33,4.52,1.67,0.1,5,0.76,60.2,0.1459
Low,Construction,South,Lease,57296.28,0.6634,-26.73,-32.81,1.71,4.49,5.1,0.84,62.2,0.1335
Low,Transportation,East,Lease,36078.69,0.7352,-33.24,9.58,1.73,2.48,5.1,0.75,77.8,0.0637
High,Mining,East,Lease,66595.04,0.5464,14.31,5.82,1.84,5.15,2.9,0.62,68.6,0.1875
Medium,Manufacturing,West,Lease,41640.9,0.7013,-3.86,-41.2,1.71,3.3,6,0.69,95,0.0821
Medium,Manufacturing,West,Loan,16101.62,0.754,16.67,13.38,2.59,3.01,5.2,0.67,73.9,0.1392
High,Transportation,North,Loan,58288.13,0.5844,4.48,14.98,1.95,3.71,3.3,0.65,45.6,0.137
High,Construction,West,Lease,10000,0.7554,-28.66,-40.38,0.98,3.57,4.7,0.7,48.4,0.1183
High,Mining,East,Lease,34821.21,0.6715,31.06,-36.35,1.52,0.4,1.3,0.65,64.3,0.1215
Medium,Transportation,North,Loan,86336.85,0.5296,0.63,-10.5,0.94,4.59,1.9,0.61,59.3,0.0514
Medium,Manufacturing,North,Loan,65899.9,0.6172,-14.94,-18.66,1.51,2.95,6.8,0.75,69.7,0.0825
Low,Energy,East,Loan,64660.64,0.6086,-10.68,17.89,0.8,3.04,4.6,0.79,81.8,0.0492
Medium,Construction,North,Lease,33217.71,0.701,-24.23,-12.98,1.38,3.63,7.7,0.8,79.1,0.1468
Medium,Energy,South,Lease,47200.54,0.6593,6.65,-5.28,1.45,4.36,5.1,0.6,53.6,0.0755
Medium,Transportation,South,Loan,68621.45,0.5786,-2.22,-31.75,0.83,4.58,5.4,0.8,87.8,0.0795
High,Manufacturing,North,Loan,59594.56,0.5349,40.37,28.46,1.51,4,5,0.86,64.8,0.0727
Low,Mining,West,Lease,67037.85,0.6485,10.4,-22.79,1.31,0.38,3,0.6,70.7,0.075
Medium,Energy,South,Lease,76723.03,0.5634,39.16,-30.95,0.95,2.89,5.8,0.61,56.5,0.0928
Low,Mining,North,Lease,59901.65,0.6824,-19.23,1.55,1.96,1.6,3.7,0.57,76.2,0.0817
Medium,Manufacturing,South,Lease,31539.74,0.6954,-6.62,32.21,1.33,3.27,5.6,0.59,75.3,0.1093
Low,Energy,West,Loan,58975.73,0.6283,17.8,13.59,2.06,2.7,3.3,0.84,92.1,0.0903
Low,Mining,East,Loan,46467.04,0.6957,11.78,-16.94,1.6,6.05,6.5,0.61,60.5,0.0329
Low,Mining,North,Loan,30637.1,0.7378,-0.31,-12.15,1.3,0.96,5.9,0.77,71.5,0.1392
Medium,Energy,North,Lease,63418.37,0.6471,-21.53,-40.48,1.02,3.02,7.4,0.55,75.6,0.114
Medium,Manufacturing,North,Lease,68031.09,0.5858,-43.57,57.74,0.91,3.17,6.4,0.56,74.6,0.1366
Medium,Mining,North,Lease,48591.51,0.6417,-4.4,46.55,1.59,2.3,4.9,0.62,89.5,0.1022
High,Transportation,North,Loan,54807.14,0.6027,-3.54,8.65,1.68,2.97,8.1,0.76,58.3,0.1235
Medium,Energy,North,Loan,18909.97,0.7235,2.56,-0.36,1.08,6.21,5.8,0.68,77.2,0.0408
Low,Construction,West,Loan,66856.6,0.6333,-28.91,-33.78,0.9,3.54,0.4,0.69,78.5,0.0773
High,Construction,East,Lease,61898.92,0.589,-17.59,-4.38,1.85,5.27,3.8,0.62,64.5,0.1293
Low,Manufacturing,West,Lease,53753.36,0.6655,7.84,26.74,1.87,2.3,4.7,0.65,73.6,0.0771
High,Transportation,West,Loan,31213.26,0.6529,11.7,21.88,1.09,4.16,7.6,0.59,72.9,0.1664
Low,Mining,East,Lease,25334.38,0.7426,4.02,-13.52,1.41,1.78,4.1,0.77,76.8,0.173
High,Construction,West,Loan,80398.63,0.5199,-6.93,24.02,1.76,1.69,3.6,0.73,65.2,0.1137
Low,Manufacturing,South,Loan,35006.44,0.7106,-23.74,34.71,0.95,0.33,0.9,0.67,58.2,0.1032
High,Transportation,West,Loan,52012.76,0.5988,19.08,1.04,1.06,1.4,7.6,0.67,72.5,0.2021
Medium,Transportation,North,Loan,35469.61,0.6925,14.54,29.46,1.91,3.08,7.9,0.73,80.3,-0.0275
High,Manufacturing,South,Lease,15666.37,0.6629,-11.48,49.51,1.05,5.32,2.7,0.79,55.5,0.1177
Low,Manufacturing,South,Lease,56720.1,0.6144,16.66,57.46,1.53,2.83,2.2,0.64,83,0.1511
Medium,Mining,East,Lease,59057.91,0.6349,-1.38,-18.01,1.55,3.35,7.1,0.77,72.7,0.0139
High,Manufacturing,West,Lease,24968.04,0.688,-13.65,13.3,0.9,4.72,7.6,0.64,68,0.0575
Medium,Mining,West,Lease,66624.28,0.5826,18.53,21.1,1.99,2.51,3.6,0.68,69.1,0.1478
Medium,Mining,South,Lease,42100.97,0.6627,2,-0.57,0.72,1.54,4.5,0.68,52.8,0.0924
Medium,Energy,West,Loan,33761.14,0.6788,-8.56,37.31,1.64,1.71,6.1,0.81,73.1,0.1252
Medium,Transportation,West,Lease,32777.28,0.7064,-25.65,1.68,1.27,4.68,3,0.65,66.9,0.0014
